,split0_test_mae,split0_train_mae,split1_test_mae,split1_train_mae,split2_test_mae,split2_train_mae,split3_test_mae,split3_train_mae,split4_test_mae,split4_train_mae,mean_test_mae,std_test_mae,mean_train_mae,std_train_mae,rank_test_mae,split0_test_fcp,split0_train_fcp,split1_test_fcp,split1_train_fcp,split2_test_fcp,split2_train_fcp,split3_test_fcp,split3_train_fcp,split4_test_fcp,split4_train_fcp,mean_test_fcp,std_test_fcp,mean_train_fcp,std_train_fcp,rank_test_fcp,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_init_mean,param_lr_all,param_reg_all
0,0.31094782147465333,0.28200648063074174,0.3122218264417187,0.28177646510898485,0.31003930776007776,0.2833838593996103,0.31072622861731813,0.2825231770435006,0.31049371352370153,0.282720789131492,0.3108857795634939,0.0007327424182503916,0.2824821542628659,0.0005649715406797036,6,0.6598384593047099,0.7960736173388101,0.6621024006102069,0.7970383611899786,0.661186472018305,0.7960589088151598,0.6616937318599153,0.7967839184696268,0.6606935750229399,0.7969606433462225,0.6611029277632154,0.0007901171107672014,0.7965830898319596,0.0004299950620463514,19,214.20803322792054,5.954326575431034,12.799827671051025,0.3365170203323058,"{'n_factors': 10, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.003, 'reg_all': 0}",10,10,0.5,0.003,0.0
1,0.32084168829044457,0.2925640806532674,0.31970635604595693,0.29169667881157024,0.31935087760641834,0.29330809345971814,0.31959290036060495,0.2930635222404072,0.31968914959169503,0.29272072481719313,0.319836194379024,0.0005185021730502124,0.2926706199964312,0.0005519360734705001,7,0.6681160869957105,0.7952408010022315,0.6654865743903544,0.7948709962754594,0.6644594436971616,0.793945268582234,0.6753036081268396,0.7937360623521257,0.6662837765951255,0.7946975374539322,0.6679298979610383,0.0038763350315964293,0.7944981331331966,0.0005686397201666568,22,217.70662202835084,2.076622003931133,12.61686396598816,0.23801799375579308,"{'n_factors': 10, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.003, 'reg_all': 0.02}",10,10,0.5,0.003,0.02
2,0.28638520202677986,0.25257127765885384,0.28687358879294467,0.2523564839646101,0.28439654482868765,0.25337000001638266,0.28545065367561334,0.2526921269567202,0.2855798154158687,0.2531729579135646,0.28573716094797885,0.0008503553491951453,0.2528325693020263,0.0003793022022736226,4,0.6599727761523804,0.8127816852150717,0.6612904519024984,0.8127043135586834,0.6655491982036503,0.8125594369834884,0.6643131096319804,0.8116190370207194,0.6550814371603862,0.814395974744495,0.6612413946101791,0.0036755810470656012,0.8128120895044916,0.0008953703205059837,20,217.13991026878358,3.2231675498887165,13.099090194702148,0.8096347007744769,"{'n_factors': 10, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.007, 'reg_all': 0}",10,10,0.5,0.007,0.0
3,0.2920414902836167,0.26237011777332786,0.29205109646263544,0.26240185857923964,0.290768052419339,0.2635218997820433,0.291921407691968,0.26275919447525975,0.2914506326087405,0.2627670670262301,0.29164653589325995,0.0004909835111932406,0.26276402752722017,0.00041490581887195427,5,0.6680344731492184,0.8050260601201116,0.6701445850679381,0.805566911893907,0.6676694054564799,0.8061625111275695,0.6728687788755882,0.804999963037799,0.6589782418684879,0.8068717484706173,0.6675390968835424,0.004663575782013686,0.8057254389300009,0.000713531285909274,21,218.07652554512023,3.264137925654091,14.223680257797241,1.9828378215016003,"{'n_factors': 10, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.007, 'reg_all': 0.02}",10,10,0.5,0.007,0.02
4,0.5007814977574412,0.4998046233477931,0.2824839832599821,0.24389558682256582,0.2795023026220354,0.244417920204295,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.4124380296639781,0.10733029201207056,0.3976525077591294,0.12532896637589655,10,0.0,0.0,0.6581376039878996,0.823453213025104,0.6624453080800471,0.8253568453987038,0.0,0.0,0.0,0.0,0.2641165824135893,0.3234782980204484,0.32976201168476155,0.40387478122209186,14,219.1854959487915,2.300494065284246,12.524152565002442,0.1527055241377213,"{'n_factors': 10, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.01, 'reg_all': 0}",10,10,0.5,0.01,0.0
5,0.5007814977574412,0.4998046233477931,0.2882691085284496,0.25688500425769234,0.28705920731652346,0.2579702365754132,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.41510643565656924,0.10405879523858523,0.40296085452037833,0.11882798803618633,11,0.0,0.0,0.6685977270071938,0.8100741288056145,0.6667620044964032,0.8099737122268362,0.0,0.0,0.0,0.0,0.2670719463007194,0.32709551164605605,0.3240095682064902,0.39682905821320996,15,220.42667517662048,3.5686396447220736,13.264930820465088,1.3311679473123277,"{'n_factors': 10, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.01, 'reg_all': 0.02}",10,10,0.5,0.01,0.02
6,0.2818148243222806,0.24702032009137173,0.282437069168321,0.24651016669537218,0.280232540679444,0.24760360888219557,0.28158360025507234,0.24683516023371072,0.2808092115407985,0.24718004227974585,0.2813754491931833,0.0007733407127524404,0.24702985963647922,0.00036326922156835394,2,0.6598825422852945,0.8278049454872841,0.6596460479050474,0.8293436358966471,0.6594157274819406,0.8284068070595929,0.6652029731960851,0.8292438177717479,0.6575378485438496,0.8292295105126273,0.6603370278824434,0.0025708221906661347,0.82880574334558,0.0006035830886746036,18,636.1491187095642,6.402888048898515,12.71970157623291,0.21168509971525307,"{'n_factors': 10, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.003, 'reg_all': 0}",10,30,0.5,0.003,0.0
7,0.28639012818109916,0.2575475087422637,0.28634134885560825,0.257198492375419,0.28453356032649213,0.2579769400173777,0.2856477099220129,0.2575275770625313,0.2853886026883785,0.25780768942639826,0.28566026999471816,0.0006841048083755748,0.257611641524798,0.00026598865977603517,3,0.6730084526945943,0.8123928425216941,0.669306743309284,0.8125891113392633,0.6712091049279801,0.811752290686107,0.6747175879353926,0.8122398498775213,0.6673604966181069,0.8130365514334731,0.6711204770970716,0.002605325184600844,0.8124021291716117,0.00042099045256756604,24,671.7260612487793,13.836938448922899,13.607978010177613,1.8118953542665128,"{'n_factors': 10, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.003, 'reg_all': 0.02}",10,30,0.5,0.003,0.02
8,0.5007814977574412,0.4998046233477931,0.27947931402575327,0.22520019043983855,0.27685247106737615,0.2260897155939883,0.27897150280281274,0.2261845061246513,0.2783924998949056,0.22624274416278894,0.3228954571096578,0.08894738721752823,0.28070435593381204,0.10955079158766474,8,0.0,0.0,0.6510890428913853,0.8631676051480321,0.6510149049517929,0.8638339868031703,0.6606914557684936,0.8614974886180043,0.6499726820095006,0.8637431272446482,0.5225536171242344,0.261305806088813,0.690448441562771,0.34522524004146804,17,612.7432357311249,25.255365344270096,12.640284967422485,1.3774844123408152,"{'n_factors': 10, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.007, 'reg_all': 0}",10,30,0.5,0.007,0.0
9,0.281317057979906,0.24588204269942818,0.2816107123720287,0.2456643944288787,0.27924402812791227,0.24617476477689057,0.2806039520105698,0.24582333814542007,0.28020156030325394,0.24612296355046656,0.28059546215873415,0.0008405995733672269,0.2459335007202168,0.00019042396168340446,1,0.6700620979886779,0.824807301125074,0.6671193730180999,0.8247592940188655,0.6668326040153163,0.8247185471901175,0.6722225839707648,0.8237617836564008,0.6636073668953848,0.8260513388980635,0.6679688051776488,0.0029499539243326993,0.8248196529777043,0.0007280323976067438,23,605.384068441391,11.609297174615547,12.10033130645752,0.30028956302278376,"{'n_factors': 10, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.007, 'reg_all': 0.02}",10,30,0.5,0.007,0.02
